Country,Year,LifeExpectancy
Australia,1885,49.05
Australia,1895,52.95
Australia,1905,57
Australia,1921,60.97
Australia,1922,62.83
Australia,1923,61.68
Australia,1924,62.48
Australia,1925,63.17
Australia,1926,62.88
Australia,1927,62.84
Australia,1928,62.91
Australia,1929,63.08
Australia,1930,64.9
Australia,1931,65.32
Australia,1932,65.6
Australia,1933,65.43
Australia,1934,64.79
Australia,1935,65.05
Australia,1936,65.19
Australia,1937,65.74
Australia,1938,65.76
Australia,1939,65.73
Australia,1940,66.16
Australia,1941,66.04
Australia,1942,65.79
Australia,1943,66.33
Australia,1944,67.96
Australia,1945,68.38
Australia,1946,67.92
Australia,1947,68.52
Australia,1948,68.47
Australia,1949,69.09
Australia,1950,69
Australia,1951,68.6995
Australia,1952,69.1125
Australia,1953,69.6911
Australia,1954,69.8595
Australia,1955,70.1564
Australia,1956,70.0366
Australia,1957,70.3168
Australia,1958,70.8606
Australia,1959,70.445
Australia,1960,70.8652
Australia,1961,71.1348
Australia,1962,70.9059
Australia,1963,70.9606
Australia,1964,70.5715
Australia,1965,70.8021
Australia,1966,70.6776
Australia,1967,71.0472
Australia,1968,70.6807
Australia,1969,71.0719
Australia,1970,70.6534
Australia,1971,71.451
Australia,1972,71.7682
Australia,1973,72.0579
Australia,1974,71.8491
Australia,1975,72.7834
Australia,1976,72.7871
Australia,1977,73.4719
Australia,1978,73.7403
Australia,1979,74.327
Australia,1980,74.5655
Australia,1981,74.7827
Australia,1982,74.7192
Australia,1983,75.4402
Australia,1984,75.5099
Australia,1985,75.4303
Australia,1986,76.0716
Australia,1987,76.083
Australia,1988,76.3443
Australia,1989,76.1973
Australia,1990,77.0414
Australia,1991,77.4806
Australia,1992,77.4731
Australia,1993,78.006
Australia,1994,77.8515
Australia,1995,78.2569
Australia,1996,78.3436
Australia,1997,78.6256
Australia,1998,79.0202
Australia,1999,79.2769
Australia,2000,79.6207
Australia,2001,80.006
Australia,2002,80.0515
Australia,2003,80.4396
Australia,2004,80.7334
Australia,2005,81.0923
Australia,2006,81.2581
Australia,2007,81.2324
Australia,2008,81.4267
Australia,2009,81.7283
Australia,2010,82.0132
Australia,2011,82.0911
Australia,2012,82.2966
Australia,2013,82.5511
Australia,2014,82.5182
Australia,2015,82.605
Australia,2016,82.8014
Australia,2017,82.7184
Australia,2018,83.2582
Australia,2019,83.2412
Australia,2020,83.6639
Australia,2021,83.564
Australia,2022,82.7662
Australia,2023,83.9228
Fiji,1950,51.7077
Fiji,1951,52.2033
Fiji,1952,52.6019
Fiji,1953,53.3539
Fiji,1954,54.214
Fiji,1955,55.3057
Fiji,1956,56.1583
Fiji,1957,57.0686
Fiji,1958,57.8284
Fiji,1959,58.1586
Fiji,1960,58.6024
Fiji,1961,59.1019
Fiji,1962,59.6535
Fiji,1963,60.1554
Fiji,1964,60.714
Fiji,1965,61.4126
Fiji,1966,61.5654
Fiji,1967,61.442
Fiji,1968,61.7187
Fiji,1969,61.3974
Fiji,1970,61.6519
Fiji,1971,61.7396
Fiji,1972,61.6301
Fiji,1973,60.6493
Fiji,1974,61.1945
Fiji,1975,61.6888
Fiji,1976,62.0996
Fiji,1977,62.6912
Fiji,1978,63.0652
Fiji,1979,62.3053
Fiji,1980,62.4058
Fiji,1981,62.2552
Fiji,1982,62.1953
Fiji,1983,62.9156
Fiji,1984,63.2381
Fiji,1985,63.9982
Fiji,1986,63.9614
Fiji,1987,64.2778
Fiji,1988,64.9506
Fiji,1989,65.3856
Fiji,1990,65.056
Fiji,1991,65.4568
Fiji,1992,65.4074
Fiji,1993,65.5103
Fiji,1994,65.7958
Fiji,1995,66.007
Fiji,1996,66.2018
Fiji,1997,66.2927
Fiji,1998,66.5364
