Gender,Experience,WageRate
Male,11,33.70576357
Male,3,3.838636409
Male,7,12.49840091
Male,30,89.92164529
Male,38,106.6916528
Male,2,1.732676196
Male,24,61.84899979
Male,1,1.227726744
Male,20,35.21873247
Male,35,92.66397548
Male,27,60.09761335
Male,37,69.00380113
Male,2,3.708648591
Male,32,55.57524354
Male,5,16.76535914
Male,15,37.53721423
Male,22,58.10381014
Male,5,6.841745697
Male,11,28.21553371
Male,16,40.41035064
Male,14,28.45610844
Male,21,50.49538928
Male,1,1.26155571
Male,24,74.95253368
Male,32,87.14410882
Male,13,23.68784592
Male,20,48.82394037
Male,12,23.16450502
Male,29,62.0784707
Male,5,9.427900044
Male,14,34.87721084
Male,8,9.066197035
Male,10,26.60799468
Male,34,73.46372987
Male,30,56.72143531
Male,22,48.89228768
Male,11,27.20274884
Male,26,92.69142839
Male,22,62.83789149
Male,13,21.37764612
Male,36,71.23418968
Male,2,-3.512951069
Male,35,84.63306967
Male,23,67.67232095
Male,21,63.92687079
Male,5,11.88031957
Male,8,24.7080953
Male,10,31.84800052
Male,1,1.955195278
Male,8,16.9826963
Male,33,51.24178249
Male,15,25.17067932
Male,33,63.83761788
Male,12,26.72393075
Male,32,50.31938064
Male,14,31.74207705
Male,4,17.66204628
Male,18,37.56744038
Male,12,21.36713955
Male,5,11.42401135
Male,33,68.52925708
Male,39,116.8000292
Male,1,5.900358878
Male,27,74.92116554
Male,34,87.34827849
Male,13,37.63029167
Male,35,90.94738862
Male,5,9.753101594
Male,28,62.17439652
Male,4,4.902698364
Male,24,52.3913439
Male,8,24.9762997
Male,36,68.83318297
Male,9,23.64652943
Male,19,45.33518534
Male,23,54.68912425
Male,3,3.633021929
Male,9,29.51103366
Male,26,53.80335457
Male,22,31.87656001
Male,9,13.91766374
Male,35,74.78877055
Male,36,85.81917367
Male,37,65.67263112
Male,7,6.514420065
Male,12,28.5512889
Male,9,22.53367822
Male,34,79.82731539
Male,25,54.93998603
Male,31,67.66616899
Male,10,21.6514266
Male,11,23.29511917
Male,26,44.95545621
Male,13,26.63460038
Male,19,36.047787
Male,8,17.84481853
Male,39,87.70389725
Male,7,19.34331614
Male,26,53.29357822
Male,34,97.89460159
Female,20,35.48035345
Female,35,67.35454624
Female,7,18.8873618
Female,23,42.22733684
Female,29,65.05347055
Female,26,54.07832289
Female,21,37.69227738
Female,34,61.245071
Female,32,31.5867867
Female,31,51.10582984
Female,16,31.05206888
Female,2,9.068004044
Female,5,7.873016312
Female,5,4.273242117
Female,19,34.2369175
Female,25,46.91063312
Female,4,3.286553383
Female,39,49.12162332
Female,1,2.107938378
Female,23,55.44470915
Female,15,18.53905682
Female,5,12.44814529
Female,20,39.06253498
Female,35,72.68636233
Female,19,42.14220543
Female,32,88.08243817
Female,15,31.34334853
Female,9,14.2171361
Female,33,62.12330775
Female,37,54.15145815
Female,18,30.83191038
Female,5,7.656539711
Female,2,5.242692567
Female,37,56.20737991
Female,37,34.05498115
Female,29,70.47901993
Female,33,77.97139232
Female,23,48.24733188
Female,36,57.71248101
Female,21,42.08430478
Female,15,26.54567035
Female,10,20.65093174
Female,10,18.6616697
Female,18,36.69563416
Female,38,66.61504666
Female,27,59.84778699
Female,21,43.35647723
Female,28,28.33013815
Female,9,14.90028987
Female,39,76.32644511
Female,22,35.98890597
Female,4,4.151822979
Female,13,30.90422309
Female,38,80.76810839
Female,29,55.90413569
Female,1,5.892996231
Female,32,52.21381555
Female,31,47.10187531
Female,14,25.69474312
Female,1,5.187169694
Female,15,21.26931718
Female,34,51.54233163
Female,39,67.66219881
Female,11,28.81576591
Female,10,26.82393064
Female,32,73.6063361
Female,21,47.62806958
Female,37,58.70287229
Female,26,45.04880363
Female,39,86.15986502
Female,24,46.31428834
Female,30,51.13029444
Female,22,28.03794558
Female,20,34.56142654
Female,22,47.16403576
Female,15,30.89816054
Female,28,33.92418621
Female,26,49.43660085
Female,40,60.2626521
Female,31,56.60266744
