Country,Year,MortalityRate
Australia,1950,3.8280675
Australia,1951,3.726959
Australia,1952,3.6185267
Australia,1953,3.5032988
Australia,1954,3.395746
Australia,1955,3.2916718
Australia,1956,3.202804
Australia,1957,3.119389
Australia,1958,3.0389245
Australia,1959,2.9712293
Australia,1960,2.9044235
Australia,1961,2.8473396
Australia,1962,2.7812986
Australia,1963,2.7178862
Australia,1964,2.6719122
Australia,1965,2.6264093
Australia,1966,2.6022766
Australia,1967,2.5785494
Australia,1968,2.569607
Australia,1969,2.5468156
Australia,1970,2.5182536
Australia,1971,2.4602323
Australia,1972,2.382327
Australia,1973,2.2853258
Australia,1974,2.1744297
Australia,1975,2.0562797
Australia,1976,1.9378961
Australia,1977,1.8284594
Australia,1978,1.7219641
Australia,1979,1.6386304
Australia,1980,1.5693648
Australia,1981,1.5120511
Australia,1982,1.4642733
Australia,1983,1.4237059
Australia,1984,1.3956478
Australia,1985,1.3567705
Australia,1986,1.3145487
Australia,1987,1.2680502
Australia,1988,1.2163771
Australia,1989,1.1694458
Australia,1990,1.1078963
Australia,1991,1.0483615
Australia,1992,0.99158835
Australia,1993,0.9407231
Australia,1994,0.89696974
Australia,1995,0.8611167
Australia,1996,0.8320798
Australia,1997,0.8083183
Australia,1998,0.7880671
Australia,1999,0.7694774
Australia,2000,0.7517915
Australia,2001,0.7351024
Australia,2002,0.7207383
Australia,2003,0.7089215
Australia,2004,0.6971312
Australia,2005,0.6826743
Australia,2006,0.6653925
Australia,2007,0.64560074
Australia,2008,0.6237002
Australia,2009,0.5998697
Australia,2010,0.5744955
Australia,2011,0.5490175
Australia,2012,0.52522635
Australia,2013,0.5045266
Australia,2014,0.48806503
Australia,2015,0.47655246
Australia,2016,0.46943608
Australia,2017,0.46538797
Australia,2018,0.4632962
Australia,2019,0.4619353
Australia,2020,0.4603056
Australia,2021,0.45769072
Australia,2022,0.4540127
Australia,2023,0.4491558
Cook Islands,1990,2.861766
Cook Islands,1991,2.85628
Cook Islands,1992,2.847445
Cook Islands,1993,2.828555
Cook Islands,1994,2.7907903
Cook Islands,1995,2.7340524
Cook Islands,1996,2.6580536
Cook Islands,1997,2.5651326
Cook Islands,1998,2.4649782
Cook Islands,1999,2.3660514
Cook Islands,2000,2.271966
Cook Islands,2001,2.1830845
Cook Islands,2002,2.099378
Cook Islands,2003,2.0185552
Cook Islands,2004,1.9387274
Cook Islands,2005,1.8596559
Cook Islands,2006,1.78631
Cook Islands,2007,1.7196634
Cook Islands,2008,1.661381
Cook Islands,2009,1.6157877
Cook Islands,2010,1.5849456
Cook Islands,2011,1.5722762
Cook Islands,2012,1.5762911
Cook Islands,2013,1.5919359
Cook Islands,2014,1.6171273
Cook Islands,2015,1.6480665
Cook Islands,2016,1.6817554
Cook Islands,2017,1.7163591
Cook Islands,2018,1.743175
Cook Islands,2019,1.757418
Cook Islands,2020,1.7549671
Cook Islands,2021,1.7360042
Cook Islands,2022,1.7090194
Cook Islands,2023,1.6750972
Fiji,1963,7.8926573
Fiji,1964,7.614152
Fiji,1965,7.370752
Fiji,1966,7.168428
Fiji,1967,7.0115356
Fiji,1968,6.8941975
Fiji,1969,6.814454
Fiji,1970,6.7665167
Fiji,1971,6.744924
Fiji,1972,6.715798
Fiji,1973,6.6832623
Fiji,1974,6.6131654
Fiji,1975,6.5083294
Fiji,1976,6.3722258
Fiji,1977,6.1903615
Fiji,1978,5.990787
Fiji,1979,5.767564
Fiji,1980,5.537382
Fiji,1981,5.3117285
Fiji,1982,5.0945473
Fiji,1983,4.8997874
Fiji,1984,4.7110777
Fiji,1985,4.5356073
Fiji,1986,4.375107
Fiji,1987,4.235984
Fiji,1988,4.0861125
Fiji,1989,3.951242
Fiji,1990,4.0602117
Fiji,1991,3.9275343
Fiji,1992,3.8021352
Fiji,1993,3.68312
Fiji,1994,3.5705113
Fiji,1995,3.4663696
Fiji,1996,3.3682463
Fiji,1997,3.2803319
Fiji,1998,3.1996062
Fiji,1999,3.1284928
Fiji,2000,3.068581
Fiji,2001,3.0190523
Fiji,2002,2.9808881
Fiji,2003,2.9570138
Fiji,2004,2.9453356
Fiji,2005,2.936357
Fiji,2006,2.9222631
Fiji,2007,2.8951354
Fiji,2008,2.8489325
Fiji,2009,2.784676
Fiji,2010,2.7104273
Fiji,2011,2.6376777
Fiji,2012,2.575789
Fiji,2013,2.5366504
Fiji,2014,2.5292463
Fiji,2015,2.5588112
Fiji,2016,2.6905518
Fiji,2017,2.7467434
Fiji,2018,2.8944268
Fiji,2019,3.0590367
Fiji,2020,3.2118478
Fiji,2021,3.3213167
Fiji,2022,3.383118
Fiji,2023,3.4006245
Kiribati,1990,10.521038
Kiribati,1991,10.128082
Kiribati,1992,9.752537
Kiribati,1993,9.408672
Kiribati,1994,9.11628
Kiribati,1995,8.856216
Kiribati,1996,8.619692
Kiribati,1997,8.394123
Kiribati,1998,8.171166
Kiribati,1999,7.949451
Kiribati,2000,7.7345505
Kiribati,2001,7.5332193
Kiribati,2002,7.36453
Kiribati,2003,7.2403603
Kiribati,2004,7.158523
Kiribati,2005,7.0987253
Kiribati,2006,7.0480027
Kiribati,2007,7.000085
Kiribati,2008,6.937453
Kiribati,2009,6.8733773
Kiribati,2010,6.8125443
Kiribati,2011,6.7809825
Kiribati,2012,6.7678905
Kiribati,2013,6.7867794
Kiribati,2014,6.836863
Kiribati,2015,6.894761
Kiribati,2016,6.961556
Kiribati,2017,7.0004582
Kiribati,2018,6.9969826
Kiribati,2019,6.937491
Kiribati,2020,6.855902
Kiribati,2021,6.745262
Kiribati,2022,6.615755
Kiribati,2023,6.466715
Marshall Islands,1990,5.6068373
Marshall Islands,1991,5.409644
Marshall Islands,1992,5.228359
Marshall Islands,1993,5.076566
Marshall Islands,1994,4.972845
Marshall Islands,1995,4.916007
Marshall Islands,1996,4.899289
Marshall Islands,1997,4.9142995
Marshall Islands,1998,4.958527
Marshall Islands,1999,4.9992
Marshall Islands,2000,5.0222387
Marshall Islands,2001,5.0265346
Marshall Islands,2002,5.01242
Marshall Islands,2003,4.9838047
Marshall Islands,2004,4.945837
Marshall Islands,2005,4.902728
Marshall Islands,2006,4.855464
